Company Names;Cars Names;Engines;HorsePower;Fuel Types;Seats;Colour
Acura;MDX SH-AWD w/Technology Package;V6;290 hp;Petrol;7;Silver
Acura;NSX 3.5L Hybrid Coupe;Twin-Turbo V6 Hybrid;537 hp;Hybrid;2;White
Acura;MDX Elite;V6;290 hp;Petrol;7;Black
Acura;TLX V6 Advance;V6;290 hp;Petrol;5;Blue
Acura;NSX Carbon Edition;Twin-Turbo V6 Hybrid;537 hp;Hybrid;2;Black
Acura;RDX Turbo SH-AWD;Turbocharged I4;272 hp;Petrol;5;Red
Acura;ILX Technology Plus;Inline-4;201 hp;Petrol;5;White
Acura;TLX Type S PMC Edition;Turbocharged V6;355 hp;Petrol;5;Silver
Acura;MDX Sport Hybrid;V6 Hybrid;321 hp;Hybrid;7;Brown
Peugeot;208;Inline-4;82 hp;Petrol;5;White
Peugeot;2008;Inline-4;100 hp;Petrol;5;White
Peugeot;301;Inline-4;115 hp;Petrol;5;Silver
Peugeot;308;Inline-4;130 hp;Petrol;5;Black
Peugeot;3008;Inline-4;180 hp;Petrol;5;White
Peugeot;5008;Inline-4;165 hp;Diesel;7;Silver
Peugeot;508;Inline-4;180 hp;Petrol;5;Brown
Peugeot;Partner;Diesel I4;75 hp;Diesel;5;Blue
Peugeot;Expert;Diesel I4;120 hp;Diesel;3;White
Peugeot;Boxer;Diesel I4;140 hp;Diesel;3;Gray
Peugeot;e-208;Electric Motor;136 hp;Electric;5;Blue
Peugeot;e-2008;Electric Motor;136 hp;Electric;5;Red
Peugeot;208 GTI;Inline-4;208 hp;Petrol;5;Gray
Peugeot;308 GTI;Inline-4;270 hp;Petrol;5;Black
Peugeot;508 PSE (Peugeot Sport Engineered);Hybrid I4;360 hp;Hybrid;5;White
Peugeot;308 Allure;Inline-4;130 hp;Petrol;5;Blue
Peugeot;2008 Allure;Inline-4;130 hp;Petrol;5;Brown
Peugeot;3008 Allure;Inline-4;180 hp;Petrol;5;Silver
Peugeot;5008 Allure;Inline-4;180 hp;Petrol;7;Gray
Peugeot;508 Allure;Inline-4;180 hp;Petrol;5;White
Peugeot;3008 GT;Inline-4;200 hp;Petrol;5;White
Peugeot;508 GT;Inline-4;225 hp;Petrol;5;Black
Peugeot;3008 GT Hybrid;Hybrid I4;300 hp;Hybrid;5;Black
Peugeot;5008 GT Hybrid;Hybrid I4;300 hp;Hybrid;7;White
Peugeot;208 Allure Premium;Inline-4;130 hp;Petrol;5;Red
Peugeot;Partner Tepee;Inline-4;100 hp;Diesel;5;White
Peugeot;Expert L2H1;Inline-4;120 hp;Diesel;3;Red
Peugeot;Boxer L2H2;Inline-4;130 hp;Diesel;3;Silver
Peugeot;Partner Electric;Electric Motor;136 hp;Electric;5;Green
Peugeot;Expert Electric;Electric Motor;136 hp;Electric;5;Gray
Peugeot;208 PSE (Peugeot Sport Engineered);Hybrid I4;225 hp;Hybrid;5;Gray
Peugeot;308 PSE;Hybrid I4;360 hp;Hybrid;5;Black
Peugeot;508 PSE;Hybrid I4;360 hp;Hybrid;5;Gray
Peugeot;3008 PSE;Hybrid I4;300 hp;Hybrid;5;Blue
Peugeot;2008 Active;Inline-4;100 hp;Petrol;5;White
Peugeot;3008 Active;Inline-4;130 hp;Petrol;5;Blue
Peugeot;5008 Active;Inline-4;130 hp;Petrol;7;White
Peugeot;3008 Allure Premium;Inline-4;130 hp;Petrol;5;Black
Peugeot;5008 Allure Premium;Inline-4;130 hp;Petrol;7;Black
Peugeot;3008 GT Line;Inline-4;180 hp;Petrol;5;Black
Peugeot;5008 GT Line;Inline-4;180 hp;Petrol;7;White
Peugeot;2008 GT;Inline-4;130 hp;Petrol;5;Red
Peugeot;5008 GT;Inline-4;180 hp;Petrol;7;Black
Peugeot;508 SW (Station Wagon);Inline-4;180 hp;Petrol;5;Gray
Peugeot;508 Saloon;Inline-4;180 hp;Petrol;5;Blue
